objectid,parent id,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,filename,object_location,image_small,image_thumb,image_alt_text,object_transcript
landplats_021,landplats_019,Cuffy Witsell Jr.  Sells his 100 acres to his siblings Archie and Jacob Witsell page 1,Colleton County Register of Deeds,1891,Cuffy Witsell Jr. sells his land to brothers,Cuffy Witsell Jr. sells to brothers Archie and Jacob,"Round O,Colleton County,South Carolina",32.854167,-80.486917,Colleton County Register of Deeds,"Glover Township, Colleton County",Image: Stillimage,jpeg,eng,materials produced by Colleton County Register of Deeds,http://rightsstatements.org/vocab/NoC-US/1.0/,image,Colleton_Deeds__Cuffy_to_Archie_1.jpg,/objects/Colleton_Deeds__Cuffy_to_Archie_1.jpg,/objects/small/colleton_deeds__cuffy_to_archie_1_sm.jpg,/objects/thumbs/colleton_deeds__cuffy_to_archie_1_th.jpg,,
landplats_022,,Cousin Maude Perkins' Store,Colleton County Register of Deeds,1960,Local Perkins Store,Perkins Land Plat,"Round O,Colleton County,South Carolina",32.857472,-80.491917,Shaneda Destine Private Collection,Shaneda Destine,Image: Stillimage,jpeg,eng,materials produced by Colleton County Register of Deeds,http://rightsstatements.org/vocab/NoC-US/1.0/,image,Cousin_Maude_Store.jpg,/objects/Cousin_Maude_Store.jpg,/objects/small/cousin_maude_store_sm.jpg,/objects/thumbs/cousin_maude_store_th.jpg,,
landplats_023,, 1600 Native Map of Cusabo Band of Nations,Wikipedia,1600,Cusabo Land Map,Tribal Territory of Cusabo during seventeenth  century,"Round O,Colleton County,South Carolina",32.719667,-80.361806,Wikipedia,https://en.wikipedia.org/wiki/Cusabo#/media/File:USA_Südosten-Cusabo.png,Image: Stillimage,jpeg,eng,materials produced by Colleton County Register of Deeds,http://rightsstatements.org/vocab/NoC-US/1.0/,image,Cusaba_land__map.png,/objects/Cusaba_land__map.png,/objects/small/cusaba_land__map_sm.jpg,/objects/thumbs/cusaba_land__map_th.jpg,,
landplats_024,landplats_024,Dr. Emanuel Witsell Requesting Rights to Jacksonboro Ferry,South Carolina Department of Archives and History,1844,Dr. Emanuel Witsell's request to own Jacksonboro Ferry,Jacksonboro Ferry,Colleton County S.C,32.764917,-80.446361,South Carolina Department of Archives and History,"Colleton County, SC",Image: Stillimage,jpeg,eng,materials produced by Colleton County Register of Deeds,,compound_object,1844_Emmauel_Charters_Ferry.pdf,/objects/1844_Emmauel_Charters_Ferry.pdf,/objects/small/1844_emmauel_charters_ferry_sm.jpg,/objects/thumbs/1844_emmauel_charters_ferry_th.jpg,,
landplats_025,landplats_024,Dr. Emanuel Witsell Requesting Rights to Jacksonboro Ferry,South Carolina Department of Archives and History,1843,Dr. Emanuel Witsell's request to own Jacksonboro Ferry,Jacksonboro Ferry,Colleton County S.C,32.764917,-80.446361,South Carolina Department of Archive and History,South Carolina Senate Records,Image: Stillimage,jpeg,eng,materials produced by Colleton County Register of Deeds,http://rightsstatements.org/vocab/NoC-US/1.0/,image,Dr._Emmanuel_Witsell_requesting_charter_of_the_Jacksonboro_Ferry_to_Thomas_Grant.jpg,/objects/Dr._Emmanuel_Witsell_requesting_charter_of_the_Jacksonboro_Ferry_to_Thomas_Grant.jpg,/objects/small/dr._emmanuel_witsell_requesting_charter_of_the_jacksonboro_ferry_to_thomas_grant_sm.jpg,/objects/thumbs/dr._emmanuel_witsell_requesting_charter_of_the_jacksonboro_ferry_to_thomas_grant_th.jpg,,
landplats_026,landplats_024,Dr. Emanuel Witsell Requesting Rights to Jacksonboro Ferry,South Carolina Senate,1844,Dr. Emanuel Witsell and Mary Walkington  is vested with the Jacksonboro ferry at the same toll for 8 years,,Colleton County S.C,32.80875,-80.490806,South Carolina Department of Archives and History,No-5900--01,Image: Stillimage,jpeg,eng,materials produced by South Carolina Department of Archives and History,http://rightsstatements.org/vocab/NoC-US/1.0/,image,1844_Emmauel_Charters_Ferry.pdf,/objects/1844_Emmauel_Charters_Ferry.pdf,/objects/small/1844_emmauel_charters_ferry_sm.jpg,/objects/thumbs/1844_emmauel_charters_ferry_th.jpg,,
landplats_027,,Lucius Fishburne's Plantations Notes: St. Bartholomew Parish,South Carolina Historical Society,1760,Isaac Haynes Haynes Hall,Haynes Hall Plantation,Colleton County S.C,32.80757568,-80.47910188,Plantations Notes: St. Bartholomew Parish,South Carolina Historical Society Records,Image: Stillimage,jpeg,eng,materials produced by Colleton County Register of Deeds,http://rightsstatements.org/vocab/NoC-US/1.0/,image,SCHS_Lucius_Fishburne_Hayne_Hall_1.jpeg,/objects/SCHS_Lucius_Fishburne_Hayne_Hall_1.jpeg,/objects/small/schs_lucius_fishburne_hayne_hall_1_sm.jpg,/objects/thumbs/schs_lucius_fishburne_hayne_hall_1_th.jpg,,
landplats_028,,Lucius Fishburne's Plantations Notes: St. Bartholomew Parish,South Carolina Historical Society,1790,Frederick Witsell was Charles Lowndes (Lowndes) Overseer on Oakland,Frederick Witsell and Charles Lowndes,Colleton County S.C,32.632278,-80.620611,Plantations Notes: St. Bartholomew Parish,South Carolina Historical Society Records,Image: Stillimage,jpeg,eng,materials produced by Colleton County Register of Deeds,http://rightsstatements.org/vocab/NoC-US/1.0/,image,SCHS_Lucius_Fishburne_Oakland.jpg,/objects/SCHS_Lucius_Fishburne_Oakland.jpg,/objects/small/schs_lucius_fishburne_oakland_sm.jpg,/objects/thumbs/schs_lucius_fishburne_oakland_th.jpg,,
landplats_029,landplats_029,Lucius Fishburne's Plantations Notes: St. Bartholomew Parish,South Carolina Historical Society,1800,"John Witsell owns Sycamore plantation from 1802- 1870, Prior to him Haynes owns it. After him Frasers own it.",Sycamore plantation,Colleton County S.C,32.632278,-80.620611,Plantations Notes: St. Bartholomew Parish,South Carolina Historical Society Records,Image: Stillimage,jpeg,eng,materials produced by Colleton County Register of Deeds,http://rightsstatements.org/vocab/NoC-US/1.0/,compound_object,SCHS_Lucius_FishburneSycamore_2.jpeg,/objects/SCHS_Lucius_FishburneSycamore_2.jpeg,/objects/small/schs_lucius_fishburnesycamore_2_sm.jpg,/objects/thumbs/schs_lucius_fishburnesycamore_2_th.jpg,,
landplats_030,landplats_029,Lucius Fishburne's Plantations Notes: St. Bartholomew Parish,South Carolina Historical Society,1850,"John Witsell owns Sycamore plantation from 1802- 1870, Prior to him Haynes owns it. After him Frasers own it.",Sycamore plantation,Colleton County S.C,32.81275,-80.475556,Plantations Notes: St. Bartholomew Parish,South Carolina Historical Society Records,Image: Stillimage,jpeg,eng,materials produced by Colleton County Register of Deeds,http://rightsstatements.org/vocab/NoC-US/1.0/,image,SCHS_Lucius_FishburneSycamore_2.jpeg,/objects/SCHS_Lucius_FishburneSycamore_2.jpeg,/objects/small/schs_lucius_fishburnesycamore_2_sm.jpg,/objects/thumbs/schs_lucius_fishburnesycamore_2_th.jpg,,
